compid;composito;holeid;midx;midy;midz;SampleID;Campana;Starkey_min;BWI_kwh_tc;BWI_kwh_tm;Ai_;Rec_Cut_pct;Rec_As_pct;Rec_Ag_pct;Rec_Zn_pct;Rec_Peso_pct;VelSed_CF12_mh;pct_Sol_FinalesCF;VelSed_SFLO_mh;Sol_FinalesSF_pct;YS54pct_pa;YS57pct_pa;YS60pct_pa;pH_Natural;Lito;Alte;PISO;UGE;IND88;UGM_Starkey;UGM_Wi;UGM_Rec_Cu;UGM_Rec_As;UGM_Rec_Ag;UGM_Rec_Zn;UGM_VelSed;UGM_YS;k Cu Klimpel;k Ag Klimpel;k Cu GZ;k Ag GZ;RecMasica CF_12 Min;RecMasica TF_12 min
compid;PGD21_LAB_013;MHDD0419;8918981;24025773;2037209;PGD21_LAB_013;PGD2021;43.86;15.3;16.86;-99;94.41;97.1;86.45;85.25;28.5;2.2;45.67;0.07;31.6;6.15;10.35;17.35;7.38;Brecha Hidrotermal;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;23;5;2.846044661;-99;1.060453922;0.54336721;29.69602712;28.49972217
compid;PGD21_LAB_014;MHDD0437;9047871;24559356;1867693;PGD21_LAB_014;PGD2021;8.14;14.03;15.47;-99;95.61;94.4;93.33;97.38;36.18;2.52;48.69;0.116;39.8;5.39;8.9;19.57;8;Granodiorita;Filica;AAS;BHX;1;3;3;3;3;3;3;23;3;0.609054516;-99;0.234833519;0.20870221;34.3636787;36.17750602
compid;PGD21_LAB_015;MHDD0437;9050986;24556850;1862254;PGD21_LAB_015;PGD2021;19.61;15.32;16.89;-99;96.34;75.69;90.33;96.56;17.51;4.59;48.72;0.072;33.78;6.47;7.4;8.77;8.11;Granodiorita;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;2.630474267;-99;1.010544899;0.96837471;16.49713627;17.50763818
compid;PGD21_LAB_016;MHDD0405;9061528;24624240;1860012;PGD21_LAB_016;PGD2021;19.76;15.99;17.62;-99;98.51;98.61;95.16;97.34;19.81;5;51.52;0.09;37.81;7.53;13.03;23.66;7.29;Granodiorita;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;23;5;4.703888598;-99;1.554018306;1.52924001;20.987505;19.81383718
compid;PGD21_LAB_017;MHDD0416;8742645;24117233;2073149;PGD21_LAB_017;PGD2021;29.23;12.82;14.14;-99;85.01;84.71;82.01;87.55;25.01;19.06;60.55;0.224;54.89;1.66;2.33;7.15;7.41;Andesita;Argilica Avanzada;AAS;C5;0;5;5;5;3;3;3;6;5;2.377834589;-99;0.890322887;0.76329383;26.26316034;25.0064923
compid;PGD21_LAB_018;MHDD0416;8743736;24117138;2070357;PGD21_LAB_018;PGD2021;34.09;13.98;15.42;-99;92.75;91.78;72.53;88.34;18.04;12.98;51.35;0.153;45.63;1.13;2.27;7.14;7.65;Granodiorita;Argilica Avanzada;BAS;C1;1;4;4;4;4;6;2;5;6;2.326330712;-99;0.881261212;0.68234559;19.01946247;18.03816228
compid;PGD21_LAB_019;MHDD0423;8934987;24174008;2144122;PGD21_LAB_019;PGD2021;62.2;14.53;16.02;-99;98.28;97.76;96.58;97.95;26.47;12.37;54.88;0.199;46.23;6.75;12.68;20.37;7.74;Brecha Hidrotermal;Argilica Avanzada;AAS;BHX;1;5;5;3;3;3;3;23;4;2.183849795;-99;0.799969271;0.7626519;26.44669054;26.46574074
compid;PGD21_LAB_020;MHDD0423;8944375;24173446;2116425;PGD21_LAB_020;PGD2021;47.79;13.31;14.68;-99;95.07;97.89;88.87;96.59;40.76;17.3;54.61;0.446;58.91;0.59;1.02;3.62;6.82;Andesita;Argilica Avanzada;AAS;BHX;1;5;5;3;3;3;3;23;4;0.686445706;-99;0.283258399;0.24244757;37.55130914;40.76088971
compid;PGD21_LAB_021;MHDD0420;8719181;24438453;2057206;PGD21_LAB_021;PGD2021;52.85;13.89;15.31;-99;92.09;93.71;85.33;70.96;16.24;3.07;49.58;0.081;35;9.8;12.45;16.95;7.23;Andesita;Argilica Avanzada;AAS;C5;1;5;5;3;3;3;3;6;5;3.500144607;-99;1.246716278;0.92823834;15.92409318;16.24224465
compid;PGD21_LAB_022;MHDD0404;9007721;24662656;1909961;PGD21_LAB_022;PGD2021;45.96;14.29;15.75;-99;94.12;87.44;86.13;89.34;12.37;9.89;52.06;0.131;42.61;6.59;10.31;12.98;7.93;Dique de Porfido Dacítico;Filica;BAS;C1;1;3;3;4;4;6;2;4;3;6.848480589;-99;1.975451028;1.70439888;12.39778349;12.36829923
compid;PGD21_LAB_023;MHDD0405;9023477;24624826;1930664;PGD21_LAB_023;PGD2021;18.14;12.69;13.99;-99;94.39;91.2;82.92;94.99;24.45;2.75;47.36;0.075;34.18;15.1;29.07;32.59;6.43;Granodiorita;Filica;BAS;C5;1;3;3;4;4;5;2;4;3;2.357148885;-99;0.914076469;0.65905153;22.73419084;24.45340004
compid;PGD21_LAB_024;MHDD0405;9051551;24624478;1878490;PGD21_LAB_024;PGD2021;16.33;15.18;16.74;-99;94.27;72.08;82.29;93.23;14.69;3.92;47.8;0.066;32.61;17.97;30.03;37.83;7.81;Granodiorita;Filica;BAS;C1;1;3;3;4;4;6;2;4;3;3.234527567;-99;1.225238597;1.23378632;13.56615618;14.6855995
compid;PGD21_LAB_025;MHDD0404;9015873;24662680;1896485;PGD21_LAB_025;PGD2021;34.98;12.7;14;-99;93.06;87.89;88.17;92.87;19.9;18.18;59.67;0.25;53.46;3.03;7.27;12.4;7.17;Granodiorita;Argilica Avanzada;BAS;C5;1;5;5;4;4;5;2;5;6;2.820744613;-99;1.065370491;1.01123865;21.55321082;19.90452354
